"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_17","exp_avant_17","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_17","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_17","NB_CLUB_AVANT_17","TOP_50_AVANT_17","TOP_50_150_AVANT_17","top_restant_AVANT_17","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
7,"Gardien de But",5,"France","aucun","aucun",2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,46.67,1,"1","0","0",1,1,NA,3,220,3,NA,14,1211,14,1
38,"Defenseur",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",1,1,NA,6,480,6,NA,3,181,2,0
57,"Attaquant",10,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,6.2,1,"0","0","0",0,1,NA,NA,NA,NA,NA,5,308,4,1
59,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",2,0,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,6e-04,17.25,2,"1","0","0",1,1,5,12,754,8,1,12,782,9,0
63,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,3,146,1,0
97,"Milieu",12,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,1,NA,NA,NA,NA,NA,1,90,1,1
104,"Milieu",8,"France","CFM - CENTRE DE FORMATION O. DE MARSEILLE - O.M.","aucun",2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00151,88.27,1,"1","0","0",0,1,NA,NA,NA,NA,NA,15,898,12,1
130,"Attaquant",1,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,"1","0","0",1,1,5,11,678,8,2,13,670,6,1
134,"Defenseur",4,"France","CFM - CENTRE DE FORMATION R.C. LENSOIS","aucun",0,0,NA,16.51,16.51,16.51,NA,NA,16.51,16.51,16.51,NA,0,38.07,1,"0","1","0",1,1,NA,1,90,1,NA,13,1143,13,1
139,"Gardien de But",7,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,12.65,3,"1","0","0",0,1,NA,NA,NA,NA,NA,1,90,1,1
