"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_18","exp_avant_18","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_18","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_18","NB_CLUB_AVANT_18","TOP_50_AVANT_18","TOP_50_150_AVANT_18","top_restant_AVANT_18","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
7,"Gardien de But",5,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15.39,2,"1","0","0",1,1,1,NA,3,220,3,NA,14,1211,14,NA,6,540,6,0
14,"Defenseur",10,"France","aucun","aucun",0,1,18.36,16.32,16.32,16.32,16.32,16.32,15.3,15.3,15.3,NA,8e-05,15.25,4,"1","1","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,0
26,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,18.48,18.48,18.48,18.48,18.48,18.48,NA,NA,NA,NA,9e-05,16.76,3,"1","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,450,5,1
29,"Milieu",12,"Algérie","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,13.27,13.34,13.36,13.34,14.27,14.27,13.36,13.34,13.34,13.27,0.00034,9.35,2,"1","1","0",1,0,1,NA,8,459,6,NA,NA,NA,NA,3,12,713,8,0
38,"Defenseur",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,81.27,1,"0","0","1",1,1,1,NA,6,480,6,NA,3,181,2,NA,3,107,1,0
57,"Attaquant",10,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00781,4.57,2,"0","1","0",0,1,1,NA,NA,NA,NA,NA,5,308,4,NA,3,134,1,0
59,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",3,0,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,0.00054,11.71,3,"1","0","0",1,1,1,5,12,754,8,1,12,782,9,NA,3,192,2,0
77,"Milieu",6,"France","CFM - CENTRE DE FORMATION PARIS F.C.","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.1,3,"1","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,135,2,0
86,"Milieu",6,"Sénégal","CFM - ACADEMY AS MONACO FC","PEM - PEM AIX EN PROVENCE",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,270,3,1
89,"Attaquant",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00058,25.18,3,"0","0","0",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,57,NA,0
