"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES","exp","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON","NB_CLUB","TOP_50","TOP_50_150","top_restant","France U16","France U17","France U18","France U19","France U20","France U21","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","U19_NB_BUT","U19_NB_MATCH_JOUE","U19_NB_MIN_JOUE","U19_TITULARISATION","U20_NB_BUT","U20_NB_MATCH_JOUE","U20_NB_MIN_JOUE","U20_TITULARISATION","U21_NB_BUT","U21_NB_MATCH_JOUE","U21_NB_MIN_JOUE","U21_TITULARISATION","Y"
7,"Gardien de But",5,"France","aucun","aucun",3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.28,6,"1","0","1",1,1,1,1,1,0,NA,3,220,3,NA,14,1211,14,NA,6,540,6,NA,6,540,6,NA,1,90,1,NA,NA,NA,NA,0
14,"Defenseur",10,"France","aucun","aucun",0,1,18.36,16.32,16.32,16.32,16.32,16.32,15.3,15.3,15.3,NA,6e-05,7.3,8,"1","1","1",0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,362,4,1,15,1104,12,NA,NA,NA,NA,NA,NA,NA,NA,0
26,"Defenseur",11,"France","CFM - CENTRE DE FORMATION O. DE LYON ET DU RHONE","aucun",0,0,18.48,18.48,18.48,18.48,18.48,18.48,NA,NA,NA,NA,3e-05,7.22,4,"1","1","0",0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,450,5,NA,4,286,3,NA,2,180,2,NA,3,99,1,0
27,"Defenseur",7,"France","aucun","PEM - PEM CASTELMAUROU",0,0,14.38,12.12,10.51,12.12,13.99,13.99,10.51,12.12,12.12,14.38,0,8.93,4,"0","0","1",1,0,0,0,0,0,NA,2,78,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
28,"Defenseur",11,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,8.95,3,"1","0","1",0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,5,384,4,NA,NA,NA,NA,0
29,"Milieu",12,"Algérie","CFM - LOSC LILLE ASSOCIATION","aucun",0,0,13.27,13.34,13.36,13.34,14.27,14.27,13.36,13.34,13.34,13.27,0.00029,7.16,3,"1","1","1",1,0,1,1,0,0,NA,8,459,6,NA,NA,NA,NA,3,12,713,8,NA,3,163,2,NA,NA,NA,NA,NA,NA,NA,NA,0
38,"Defenseur",2,"France","aucun","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2e-04,18.13,2,"0","0","1",1,1,1,0,0,0,NA,6,480,6,NA,3,181,2,NA,3,107,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
57,"Attaquant",10,"France","CFM - ACADEMY AS MONACO FC","PEM - PEM REIMS",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00051,4.57,6,"1","1","1",0,1,1,1,0,0,NA,NA,NA,NA,NA,5,308,4,NA,3,134,1,NA,3,122,1,NA,NA,NA,NA,NA,NA,NA,NA,0
59,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",3,1,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,0.00023,5.87,6,"1","1","0",1,1,1,0,0,0,5,12,754,8,1,12,782,9,NA,3,192,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
63,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5e-05,9.34,10,"1","0","1",0,1,0,0,0,0,NA,NA,NA,NA,NA,3,146,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
