"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_19","exp_avant_19","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_19","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_19","NB_CLUB_AVANT_19","TOP_50_AVANT_19","TOP_50_150_AVANT_19","top_restant_AVANT_19","France U16","France U17","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","Y"
27,"Defenseur",7,"France","aucun","PEM - PEM CASTELMAUROU",0,0,14.38,12.12,10.51,12.12,13.99,13.99,10.51,12.12,12.12,14.38,0,11.91,3,"0","0","1",1,0,NA,2,78,1,NA,NA,NA,NA,0
28,"Defenseur",11,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00017,25.24,1,"1","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
63,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,35.9,1,"0","0","1",0,1,NA,NA,NA,NA,NA,3,146,1,0
66,"Defenseur",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,38.39,3,"1","0","1",1,0,NA,2,139,1,NA,NA,NA,NA,0
75,"Milieu",4,"France","CFM - CENTRE DE FORMATION VALENCIENNES F.C.","PEM - PEM CASTELMAUROU",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00043,34.89,2,"1","0","0",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
78,"Defenseur",2,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
80,"Gardien de But",2,"France","aucun","aucun",0,0,NA,16.16,16.16,16.16,15.93,15.93,16.16,15.84,15.84,NA,0,10.54,5,"0","0","1",1,0,NA,1,90,1,NA,NA,NA,NA,0
97,"Milieu",12,"France","CFM - CENTRE DE FORMATION EN AVANT GUINGAMP","aucun",1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,66.2,1,"0","0","0",0,1,NA,NA,NA,NA,NA,1,90,1,1
100,"Attaquant",2,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,15.24,14.76,13.92,14.76,14.76,14.76,13.84,14.84,14.84,16.16,0.00028,10.41,4,"1","0","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,0
111,"Milieu",1,"France","CFM - CENTRE DE FORMATION ANGERS S.C.O.","aucun",0,0,15.62,13.52,14.56,13.52,14.48,14.48,14.56,13.51,13.52,13.07,0.00012,10.38,2,"0","0","1",1,0,NA,4,151,2,NA,NA,NA,NA,0
128,"Milieu",8,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4e-05,9.5,2,"0","0","1",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
151,"Defenseur",3,"France","aucun","aucun",0,0,10.46,10.63,10.63,10.63,10.63,10.63,10.71,10.71,10.71,NA,7e-05,13.47,3,"0","1","1",0,1,NA,NA,NA,NA,NA,3,159,2,0
162,"Gardien de But",3,"France","CFM - CENTRE DE FORMATION A.S. ST ETIENNE","PEM - PEM CLAIREFONTAINE",0,0,6.77,12.08,14.74,12.08,14.74,14.74,14.74,12.08,12.08,6.77,0,10.92,2,"0","0","1",1,0,NA,4,360,4,NA,NA,NA,NA,0
164,"Milieu",3,"France","CFM - CENTRE DE FORMATION ST DE REIMS","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-05,10.68,3,"1","0","1",0,1,NA,NA,NA,NA,NA,2,81,1,0
165,"Defenseur",2,"France","CFM - CENTRE DE FORMATION F.C. DES GIRONDINS DE BORDEAUX","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,NA,NA,NA,NA,NA,NA,NA,NA,1
178,"Milieu",3,"France","CFM - CENTRE DE FORMATION F.C. NANTES","aucun",0,0,NA,14.17,14.17,14.17,18.43,18.43,10.69,10.69,10.69,NA,3e-05,21.7,1,"0","1","0",1,0,NA,6,274,3,NA,NA,NA,NA,0
181,"Attaquant",2,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00041,9.79,3,"1","0","0",1,0,1,5,201,2,NA,NA,NA,NA,0
