"ID_INDIVIDU","POSTE","MOIS_NAISSANCE","NATIONALITE","CF_AGREE","POLE_ESPOIR","NB_PALMARES_AVANT_20","exp_avant_20","Anthropometrie","Detente_horizontale","Vitesse_lineaire","Vivacite","Jeux_reduits","Match","Conduite_de_balle","Gardiens_de_but","Jonglerie_en_mouvement","Vitesse_max_aerobie","NB_BUT_PAR_MIN_JOUE_PAR_SAISON_AVANT_20","NB_MIN_JOUE_PAR_MATCH_PAR_SAISON_AVANT_20","NB_CLUB_AVANT_20","TOP_50_AVANT_20","TOP_50_150_AVANT_20","top_restant_AVANT_20","France U16","France U17","France U18","U16_NB_BUT","U16_NB_MATCH_JOUE","U16_NB_MIN_JOUE","U16_TITULARISATION","U17_NB_BUT","U17_NB_MATCH_JOUE","U17_NB_MIN_JOUE","U17_TITULARISATION","U18_NB_BUT","U18_NB_MATCH_JOUE","U18_NB_MIN_JOUE","U18_TITULARISATION","Y"
27,"Defenseur",7,"France","aucun","PEM - PEM CASTELMAUROU",0,0,14.38,12.12,10.51,12.12,13.99,13.99,10.51,12.12,12.12,14.38,0,10.28,3,"0","0","1",1,0,0,NA,2,78,1,NA,NA,NA,NA,NA,NA,NA,NA,0
38,"Defenseur",2,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00021,22.92,1,"0","0","1",1,1,1,NA,6,480,6,NA,3,181,2,NA,3,107,1,0
59,"Attaquant",1,"France","CFM - CENTRE DE FORMATION ST. RENNAIS F.C.","aucun",3,1,NA,18.75,18.75,18.75,18,18,18.75,18.75,18.75,NA,0.00033,7.26,4,"1","1","0",1,1,1,5,12,754,8,1,12,782,9,NA,3,192,2,0
63,"Milieu",5,"France","CFM - CENTRE DE FORMATION F.C. SOCHAUX MONTBELIARD","PEM - PEM CASTELMAUROU",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-05,26.4,2,"0","0","1",0,1,0,NA,NA,NA,NA,NA,3,146,1,NA,NA,NA,NA,0
66,"Defenseur",4,"France","aucun","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.76,4,"1","0","1",1,0,0,NA,2,139,1,NA,NA,NA,NA,NA,NA,NA,NA,0
77,"Milieu",6,"France","CFM - CENTRE DE FORMATION PARIS F.C.","PEM - PEM REIMS",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,24.1,3,"1","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,135,2,0
78,"Defenseur",2,"France","CFM - CENTRE DE FORMATION A.J. AUXERROISE","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"inconnu","inconnu","inconnu",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
80,"Gardien de But",2,"France","aucun","aucun",0,0,NA,16.16,16.16,16.16,15.93,15.93,16.16,15.84,15.84,NA,0,8.45,6,"0","0","1",1,0,0,NA,1,90,1,NA,NA,NA,NA,NA,NA,NA,NA,0
89,"Attaquant",2,"France","CFM - CENTRE DE FORMATION MONTPELLIER HERAULT SP.C.","aucun",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00038,13.1,4,"0","0","1",0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,1,3,57,NA,0
100,"Attaquant",2,"France","CFM - LOSC LILLE ASSOCIATION","PEM - PEM LIEVIN",0,0,15.24,14.76,13.92,14.76,14.76,14.76,13.84,14.84,14.84,16.16,0.00032,9.37,5,"1","0","1",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
